"miejsce_id","kategoria","nazwa","wezwanie","typ","kul_ob","komentarz","wikikul_type","wikikul_id"
22915,jednostka,Gułtowo,"Wit M, Dorota PM, Kazimierz Królewicz",parafia,13549,,Q2,Q2996
22917,jednostka,Siedlec,Mikołaj Bp,parafia,13650,,Q2,Q2997
22918,jednostka,Chojnica,Ścięcie Jana Ch,parafia,15675,,Q2,Q2998
22919,jednostka,Modrze,Idzi O,parafia,15746,,Q2,Q2999
22920,jednostka,Urzazowo,Michał A,parafia,15802,,Q2,Q3000
22923,jednostka,Granowo,Marcin Bp,parafia,15704,,Q2,Q3002
22921,jednostka,Bnin,"Wojciech Bp, Jadwiga Wd",parafia,13502,,Q2,Q3001
22705,jednostka,Ptaszkowo Wielkie,Piotr wO,parafia,15635,,Q2,Q3134
21975,jednostka,Gołębino,WnNMP,parafia,15698,,Q2,Q3012
22736,jednostka,Falkwald,"WnNMP, Marcin Bp",parafia,15790,,Q2,Q3150
22781,jednostka,Grodzisko,Jadwiga Wd,parafia,15603,,Q2,Q3183
22802,jednostka,Radzim,Mikołaj Bp,parafia,15774,,Q2,Q3190
22843,jednostka,Ciążym,"Jan Ch, Wojciech, Stanisław BBp",parafia,13517,,Q2,Q3221
23880,jednostka,Poznań,,dekanat,,,Q4,Q2910
23884,jednostka,Międzyrzecz,,dekanat,,,Q4,Q2911
23900,jednostka,Śrem,,dekanat,,,Q4,Q2912
23901,jednostka,Oborniki,,dekanat,,,Q4,Q2913
23924,jednostka,Kościan,,dekanat,,,Q4,Q2914
23931,jednostka,Grodzisk,,dekanat,,,Q4,Q2915
23949,jednostka,Wronki,,dekanat,,,Q4,Q2916
23950,jednostka,Pyzdry,,dekanat,,,Q4,Q2917
22874,jednostka,Owieńska,Mikołaj Bp,parafia,15760,,Q2,Q3247
23975,jednostka,Wschowa,,dekanat,,,Q4,Q2918
23985,jednostka,Stęszew,,dekanat,,,Q4,Q2919
23990,jednostka,Nowe Miasto,,dekanat,,,Q4,Q2920
24000,obiekt,Pyzdry,Św. Duch,kościół filialny,13785,,Q2906,Q2928
24001,obiekt,Oborniki,Św. Duch,kościół filialny,15937,,Q2906,Q2929
24002,obiekt,Rogoźno,Św. Duch,kościół filialny,15973,,Q2906,Q2930
24003,obiekt,Szamotuły,Św. Duch,kościół filialny,15998,,Q2906,Q2931
24006,obiekt,Chodzież,Św. Trójca,kościół filialny,14062,,Q2906,Q2932
24029,obiekt,Lwówek,"Katarzyna, Jakub",kościół filialny,,W XVIII wieku nie istnieje. Losy tego kościoła nie są bliżej znane.,Q2906,Q2933
24031,obiekt,Lwówek,Św. Trójca,kościół szpitalny,15913,W XVIII wieku zapewne jako kościół Św. Ducha.,Q2909,Q2945
24032,obiekt,Pniewy,Św. Duch,kościół szpitalny,15949,,Q2909,Q2946
24007,obiekt,Stęszew,Św. Duch,kościół szpitalny,15994,Następcą kościoła szpitalnego Św. Ducha był kościół św. Anny (15994),Q2909,Q2947
24008,obiekt,Krobia,,kościół szpitalny,15901,,Q2909,Q2953
24009,obiekt,Poniec,,kościół szpitalny,15953,,Q2909,Q2954
24010,obiekt,Sobiałkowo,,kościół filialny,15990,,Q2906,Q2940
24011,obiekt,Dolsk,Św. Duch,kościół szpitalny,15858,,Q2909,Q2948
24012,jednostka,Trzebosz,,parafia,676,W XVIII wieku parafia ewangelicka.,Q2,Q3623
24013,obiekt,Kościan,Św. Duch,kościół szpitalny,15896,Identyfikacja obiektu wątpliwa.,Q2909,Q2949
24015,obiekt,Osieczna,,kościół szpitalny,15943,Identyfikacja obiektu wątpliwa.,Q2909,Q2955
24033,miejsce,Trzciel,,folwark,,,Q2901,Q2921
24034,jednostka,Borszyn,,parafia,,"W XVIII wieku nie istnieje, upadł w czasie reformacji; parafia połączona z parafią Żarzyn.",Q2,Q3624
24018,obiekt,Siekowo,,kaplica,,,Q2905,Q2922
24019,obiekt,Koźmin,Św. Duch,kościół szpitalny,13774,,Q2909,Q2950
24035,jednostka,Osiecko,,parafia,15942,W XVIII wieku kościół filialny.,Q2,Q3625
24020,obiekt,Jarocin,,kościół szpitalny,13756,Identyfikacja obiektu wątpliwa. Chodzi zapewne o kościół szpitalny Św. Ducha.,Q2909,Q2956
24036,jednostka,Nowa Wieś,,parafia,15935,W XVIII wieku kościół filialny.,Q2,Q3626
24037,obiekt,Kostrzyń,,kościół szpitalny,15895,,Q2909,Q2957
24017,jednostka,Przemęt,Św. Duch,parafia,15967,Identyfikacja obiektu wątpliwa. Chodzi zapewne o parafię św. Piotra.,Q2,Q3251
24038,obiekt,Środa,,kościół kolegiacki,13676,,Q2908,Q2944
24022,obiekt,Wschowa,Boże Ciało,kościół filialny,,,Q2906,Q2936
24023,jednostka,Sława,,parafia,1317,Parafia na Śląsku.,Q2,Q3629
24024,jednostka,Lasocice,,parafia,15906,W XVIII wieku kościół filialny.,Q2,Q3630
24026,jednostka,Przeprostynia,,parafia,15969,W XVIII wieku: Przyprostynia; parafia połączona z parafią Zbąszyń,Q2,Q3622
24027,obiekt,Zbąszyń,,kościół szpitalny,,W XVIII wieku nie istnieje. Losy tego kościoła nie są bliżej znane.,Q2909,Q2959
24028,jednostka,Kolsko,,parafia,1040,W II połowie XVIII w. w diecezji wrocławskiej.,Q2,Q3631
24048,obiekt,Poznań,Mikołaj,kościół kolegiacki,15627,,Q2908,Q2942
24049,obiekt,Poznań,Stanisław,kościół filialny,23261,"Nowacki, s. 653.",Q2906,Q2937
24040,obiekt,Lubiń,,klasztor,,,Q2904,Q2923
24021,jednostka,Dąbrowa,,parafia,,W XVI wieku parafia w stanie upadku. Brak lokalizacji  - osada opustoszała.,Q2,Q3628
24025,obiekt,Kiebłów,,kościół szpitalny,,W XVIII wieku nie istnieje.,Q2909,Q2958
24041,obiekt,Przemęt,,klasztor,,,Q2904,Q2924
24042,obiekt,Obra,,klasztor,,,Q2904,Q2925
24043,obiekt,Bledzew,,klasztor,,,Q2904,Q2926
24044,obiekt,Paradyż,,klasztor,,,Q2904,Q2927
24045,obiekt,Poznań,,kościół katedralny,15628,,Q2907,Q2941
24047,obiekt,Poznań,NMP (in Summo),kościół kolegiacki,15955,,Q2908,Q2943
24050,obiekt,Poznań,Wszyscy Św.,kościół filialny,15960,,Q2906,Q2938
24051,obiekt,Poznań,Gertruda,kościół filialny,,"Nowacki, s. 652; w XVIII wieku nie istnieje",Q2906,Q2939
24052,obiekt,Poznań,Św. Krzyż,kościół szpitalny,15961,,Q2909,Q2951
24053,obiekt,Poznań,Św. Duch,kościół szpitalny,15964,,Q2909,Q2952
22823,jednostka,Łodzia,"Maciej Ap, Jadwiga Wd",parafia,15740,,Q2,Q3206
22824,jednostka,Milesna Górka,Michał A,parafia,13677,,Q2,Q3207
22825,jednostka,Białężyno,Marcin Bp,parafia,15661,,Q2,Q3208
22826,jednostka,Goślina Kościelna,Jakub W Ap,parafia,15617,,Q2,Q3209
22828,jednostka,Lusowo,"Jakub W Ap, Jadwiga Wd",parafia,15737,,Q2,Q3210
22829,jednostka,Obrzycko,Piotr i Paweł AAp,parafia,15619,,Q2,Q3211
22830,jednostka,Spławie,Andrzej Ap,parafia,15791,,Q2,Q3212
22832,jednostka,Skórzewo,"Marcin Bp, Wincenty M",parafia,15642,,Q2,Q3213
22833,jednostka,Czeszewo,Mikołaj Bp,parafia,13520,,Q2,Q3214
22835,jednostka,Szamarzewo,Michał A,parafia,13649,,Q2,Q3215
22836,jednostka,Mączniki,"OczNMP, Wawrzyniec M",parafia,13607,,Q2,Q3216
24014,obiekt,Kościan,Boże Ciało,kościół filialny,,Zniszczony w XVII wieku.,Q2906,Q2934
24030,obiekt,Lwówek,Barbara,kościół filialny,,W XVIII wieku nie istnieje. Losy tego kościoła nie są bliżej znane.,Q2906,Q2935
24054,jednostka,Morawsko,,parafia,26500,"Parafia średniowieczna, złączona przez 1507 r. z parafią chojnicką",Q2,Q3564
