"miejsce_id","kategoria","nazwa","wezwanie","typ","kul_ob","komentarz","wikikul_type","wikikul_id"
22930,jednostka,Potulice,Katarzyna PM,parafia,14014,,Q2,Q3007
21969,jednostka,Gogolewo,"Jan Ew, Stanisław Bp",parafia,15600,,Q2,Q3008
21971,jednostka,Smolice,Wojciech Bp,parafia,13658,,Q2,Q3009
21972,jednostka,Lutogniew,Św. Trójca,parafia,13604,,Q2,Q3010
21973,jednostka,Rozdrażewo,"Jan Ch, Małgorzata PM",parafia,13641,,Q2,Q3011
21977,jednostka,Pogorzel,"Michał A, Agnieszka",parafia,13631,,Q2,Q3013
21978,jednostka,Leszno,Mikołaj Bp,parafia,15608,,Q2,Q3014
21979,jednostka,Pawłowice,Mikołaj Bp,parafia,15765,,Q2,Q3015
22812,jednostka,Budziszewo,,parafia,,,Q2,Q3605
7991,miejsce,Jabłonowo,,wieś,,,Q2903,Q3635
8934,miejsce,Kikowo,,wieś,,,Q2903,Q3636
11766,miejsce,Mościejewo,,wieś,,,Q2903,Q3638
11854,miejsce,Milino,,wieś,,,Q2903,Q3639
13432,miejsce,Piotrowo,,wieś,,,Q2903,Q3640
15295,miejsce,Mitręga,,osada młyńska,,,Q3647,Q3648
15727,miejsce,Słomowo,,wieś,,,Q2903,Q3641
7975,miejsce,Izdebno,,wieś,,,Q2903,Q3643
19580,miejsce,Zaczułtowo Wielkie,,wieś,,,Q2903,Q3644
20880,miejsce,Bogusław,,wieś,,,Q2903,Q3645
21980,jednostka,Benice,"NarNMP, Mikołaj Bp",parafia,13495,,Q2,Q3016
21981,jednostka,Włościejewki,"Św. Duch, NPNMP",parafia,15812,,Q2,Q3017
21983,jednostka,Cerekwica,Jakub W Ap,parafia,13513,,Q2,Q3018
21985,jednostka,Bojanowo,Bartłomiej Ap,parafia,15593,,Q2,Q3019
21986,jednostka,Kołaczkowice,NarNMP,parafia,15718,,Q2,Q3020
21987,jednostka,Goniębice,"Mikołaj Bp, Barbara PM",parafia,15699,,Q2,Q3021
21988,jednostka,Mieszków,"Wszyscy Św, Stanisław Bp, Wawrzyniec M",parafia,13611,,Q2,Q3022
21989,jednostka,Wyskocz,Andrzej Ap,parafia,15814,,Q2,Q3023
21992,jednostka,Gołanice,Andrzej Ap,parafia,15697,,Q2,Q3025
21993,jednostka,Kościan,"WnNMP, Jan Ch, Jan Ew",parafia,15725,,Q2,Q3026
21994,jednostka,Wilkowo,Marcin Bp,parafia,15808,,Q2,Q3027
21997,jednostka,Zakrzewo,Klemens Pp,parafia,15817,,Q2,Q3028
21998,jednostka,Starygród,"OczNMP, Mateusz Ap, Maria Magdalena",parafia,13665,,Q2,Q3029
21999,jednostka,Brzostkowo,Jan Ch,parafia,13512,,Q2,Q3030
22000,jednostka,Jaraczewo,Maria Magdalena,parafia,13554,,Q2,Q3031
22003,jednostka,Oborzyska,"Wszyscy Św, Mikołaj Bp",parafia,15755,,Q2,Q3032
22004,jednostka,Iłowiec Mały,"Andrzej Ap, Dorota PM",parafia,15706,,Q2,Q3033
22005,jednostka,Zbarzewo,NarNMP,parafia,15818,,Q2,Q3034
22007,jednostka,Jutrosin,"WnNMP, Katarzyna PM",parafia,13558,,Q2,Q3035
22008,jednostka,Rąbino,Piotr i Paweł AAp,parafia,15776,,Q2,Q3036
22009,jednostka,Raszkowo,"ZKrzyża Św, NPNMP",parafia,13639,,Q2,Q3037
22010,jednostka,Kąkolewo,Wszyscy Św,parafia,15713,,Q2,Q3038
22012,jednostka,Jeżewo,Wszyscy Św,parafia,15708,,Q2,Q3039
22013,jednostka,Słaboszewo,Zofia M,parafia,13655,,Q2,Q3040
22014,jednostka,Gostyń Stary,Marcin Bp,parafia,15602,,Q2,Q3041
22016,jednostka,Wielawieś,Wszyscy Św,parafia,13686,,Q2,Q3042
22017,jednostka,Śrem,WnNMP,parafia,15646,,Q2,Q3043
22018,jednostka,Jarocin,Marcin Bp,parafia,13555,,Q2,Q3044
22019,jednostka,Pakosław,Walenty M,parafia,15761,,Q2,Q3045
22020,jednostka,Głuchowo,Katarzyna PM,parafia,15694,,Q2,Q3046
22022,jednostka,Panienka,Wojciech Bp,parafia,15762,,Q2,Q3048
22023,jednostka,Poniec,NarNMP,parafia,15769,,Q2,Q3049
22024,jednostka,Potarzyca,"Jan Ch, Dorota PM",parafia,13634,,Q2,Q3050
22025,jednostka,Łysina,Wszyscy Św,parafia,15742,,Q2,Q3051
22027,jednostka,Wieszczyczyno,"Maria Magdalena, Roch W",parafia,15653,,Q2,Q3052
22028,jednostka,Wysocko Wielkie,"PKrzyża Św, Mikołaj Bp, Agnieszka PM",parafia,13692,,Q2,Q3053
22029,jednostka,Niepart,Piotr i Paweł AAp,parafia,15751,,Q2,Q3054
22030,jednostka,Krobia,Mikołaj Bp,parafia,15726,,Q2,Q3055
22032,jednostka,Dębowa Łęka,Jadwiga Wd,parafia,15686,,Q2,Q3056
22033,jednostka,Borek,Stanisław Bp,parafia,13503,,Q2,Q3057
22034,jednostka,Radomicko,Jan Ch,parafia,15773,,Q2,Q3058
22035,jednostka,Włoszakowice,Św. Trójca,parafia,15811,,Q2,Q3059
22036,jednostka,Błociszewo,Michał A,parafia,15592,,Q2,Q3060
22038,jednostka,Skoroszewice,Katarzyna PM,parafia,15783,,Q2,Q3061
22039,jednostka,Bukowiec Wielki,Marcin Bp,parafia,15670,,Q2,Q3062
22040,jednostka,Strzelce Wielkie,Marcin Bp,parafia,15645,,Q2,Q3063
22041,jednostka,Lutynia,WnNMP,parafia,13605,,Q2,Q3064
22043,jednostka,Długie Stare,Marcin Bp,parafia,15688,,Q2,Q3066
22044,jednostka,Wschowa,Stanisław Bp,parafia,15656,,Q2,Q3067
22045,jednostka,Golina,Andrzej Ap,parafia,13534,,Q2,Q3068
22046,jednostka,Góra,WnNMP,parafia,13541,,Q2,Q3069
22047,jednostka,Gryżyna,Barbara PM,parafia,15705,,Q2,Q3070
22048,jednostka,Górka,"Mikołaj Bp, Maria Magdalena",parafia,15613,,Q2,Q3071
22049,jednostka,Sarnowo,Andrzej Ap,parafia,15640,,Q2,Q3072
22050,jednostka,Brenno,Jadwiga Wd,parafia,15665,,Q2,Q3073
22051,jednostka,Oporowo,"NPNMP, Stanisław Bp, Jadwiga Wd, Katarzyna",parafia,15757,,Q2,Q3074
22053,jednostka,Chorynia,Wszyscy Św,parafia,15676,,Q2,Q3076
22054,jednostka,Lgowo,NarNMP,parafia,13597,,Q2,Q3077
22055,jednostka,Przemęt,"Piotr i Paweł, Andrzej AAp",parafia,15771,,Q2,Q3078
22056,jednostka,Osieczna,"Św. Trójca, Wawrzyniec M",parafia,15621,,Q2,Q3079
22057,jednostka,Śmigiel,"WnNMP, Jan Ch",parafia,15648,,Q2,Q3080
22058,jednostka,Drzeczkowo,"WnNMP, Bartłomiej Ap, Wojciech Bp",parafia,15692,,Q2,Q3081
22060,jednostka,Witaszyce,Św. Trójca,parafia,13689,,Q2,Q3082
22061,jednostka,Czacz,Michał A,parafia,15680,,Q2,Q3083
22062,jednostka,Górka Mnisza,Michał A,parafia,15703,,Q2,Q3084
22063,jednostka,Rydzyna,Stanisław Bp,parafia,15638,,Q2,Q3085
22065,jednostka,Wilkowyja,"Wojciech Bp, Jadwiga Wd",parafia,13687,,Q2,Q3086
22066,jednostka,Dębno,WnNMP,parafia,13523,,Q2,Q3087
22067,jednostka,Krzywiń,"Mikołaj Bp, Katarzyna PM",parafia,15728,,Q2,Q3088
22068,jednostka,Nowe Miasto,Św. Trójca,parafia,13621,,Q2,Q3089
22069,jednostka,Żabno,Trzej Królowie,parafia,15658,,Q2,Q3090
22070,jednostka,Bieździadowo,"Maciej, Mateusz AAp",parafia,13499,,Q2,Q3091
22071,jednostka,Święciechów,Jakub W Ap,parafia,15797,,Q2,Q3092
22072,jednostka,Brodnica,Katarzyna PM,parafia,15666,,Q2,Q3093
22073,jednostka,Stary Klasztor,Wojciech Bp,parafia,15711,,Q2,Q3094
22074,jednostka,Odalanów,Marcin Bp,parafia,13623,,Q2,Q3095
22075,jednostka,Dolsko,Michał A,parafia,15599,,Q2,Q3096
22076,jednostka,Mokronos,Andrzej Ap,parafia,13614,,Q2,Q3097
22877,jednostka,Głęboczek,,parafia,,,Q2,Q3612
22878,jednostka,Kępa Mała,,parafia,,,Q2,Q3613
22880,jednostka,Drożyn,,parafia,,,Q2,Q3614
22883,jednostka,Szamotuły Stare,,parafia,,,Q2,Q3615
22890,jednostka,Głuszyna,,parafia,,,Q2,Q3616
22896,jednostka,Gorazdowo,,parafia,,,Q2,Q3617
22916,jednostka,Mikuszewo,,parafia,,,Q2,Q3618
22101,jednostka,Żerków - św. Stanisław,"Stanisław Bp, Franciszek z A",parafia,13702,,Q2,Q3117
22077,jednostka,Osowa Sień,"Fabian, Sebastian MM",parafia,15758,,Q2,Q3098
22078,jednostka,Lubiń,Leonard O,parafia,15734,,Q2,Q3099
22079,jednostka,Mórkowo,"Jan Ch, Wszyscy Św",parafia,15747,,Q2,Q3100
22080,jednostka,Dobrzyca,"ZKrzyża Św, Katarzyna PM",parafia,13528,,Q2,Q3101
22081,jednostka,Czempiń,"Michał A, Maria Magdalena",parafia,15597,,Q2,Q3102
22082,jednostka,Żytowiecko,Wawrzyniec M,parafia,15821,,Q2,Q3103
22088,jednostka,Czerwony Kościół,Idzi O,parafia,15682,,Q2,Q3105
22090,jednostka,Ostrów,"WnNMP, NMP, Stanisław Bp, Andrzej Ap, Dorota PM",parafia,13627,,Q2,Q3107
22091,jednostka,Domachowo,"Św. Krzyż, Michał A",parafia,15690,,Q2,Q3108
22092,jednostka,Borzęcice,"NarNMP, Wojciech, Stanisław BBp",parafia,13505,,Q2,Q3109
22093,jednostka,Lgiń,Bartłomiej Ap,parafia,15732,,Q2,Q3110
22094,jednostka,Dalewo,"Wojciech, Stanisław BBp",parafia,15684,,Q2,Q3111
22095,jednostka,Siedlimin,Mikołaj Bp,parafia,13651,,Q2,Q3112
22096,jednostka,Jaszkowo,Św. Trójca,parafia,15707,,Q2,Q3113
22097,jednostka,Woniesiecz,Wawrzyniec M,parafia,15813,,Q2,Q3114
22098,jednostka,Jankowo,"Wojciech Bp, Mateusz Ap",parafia,13553,,Q2,Q3115
22100,jednostka,Pogorzelica,Wojciech Bp,parafia,13632,,Q2,Q3116
22102,jednostka,Krzycko Małe,NMPŚ,parafia,15727,,Q2,Q3118
22103,jednostka,Świerczyna,Łukasz Ew,parafia,15796,,Q2,Q3119
22104,jednostka,Mchy,Marcin Bp,parafia,15744,,Q2,Q3120
22105,jednostka,Noskowo,"Św. Trójca, Wszyscy Św",parafia,13620,,Q2,Q3121
21990,jednostka,Białcz,"Anna, Wszyscy Św",parafia,15660,,Q2,Q3024
22895,jednostka,Kiekrz,"WnNMP, Michał A",parafia,15716,,Q2,Q2977
22912,jednostka,Wieleń,"WnNMP, Michał A",parafia,15803,,Q2,Q2993
22924,jednostka,Grabowo,Jadwiga Wd,parafia,13545,,Q2,Q3003
22021,jednostka,Morka,Wszyscy Św,parafia,15748,,Q2,Q3047
22042,jednostka,Dupino,Mikołaj Bp,parafia,15605,,Q2,Q3065
22052,jednostka,Pępowo Małe,"Jadwiga Wd, Andrzej Ap",parafia,15766,,Q2,Q3075
22087,jednostka,Pogrzybowo,Katarzyna PM,parafia,13633,,Q2,Q3104
22089,jednostka,Koźmin,"WnNMP, Wawrzyniec M",parafia,13581,,Q2,Q3106
22106,jednostka,Kunowo,Andrzej Ap,parafia,15730,,Q2,Q3122
22107,jednostka,Konary,Michał A,parafia,15720,,Q2,Q3123
22109,jednostka,Gołaszyno,Michał A,parafia,15601,,Q2,Q3124
22110,jednostka,Skaradowo,Marcin Bp,parafia,15794,,Q2,Q3125
22111,jednostka,Chwałkowo,Michał A,parafia,15678,,Q2,Q3126
22112,jednostka,Książ,"WnNMP, Mikołaj Bp",parafia,15729,,Q2,Q3127
22113,jednostka,Gostyń,Małgorzata PM,parafia,15701,,Q2,Q3128
22114,jednostka,Łaszczyno,Marcin Bp,parafia,15611,,Q2,Q3129
22699,jednostka,Prochy,Mikołaj Bp,parafia,15770,,Q2,Q3130
22701,jednostka,Kiebłów,Bartłomiej Ap,parafia,15714,,Q2,Q3131
22702,jednostka,Kamieniec,Wawrzyniec M,parafia,15710,,Q2,Q3132
22703,jednostka,Wielichowo,Wszyscy Św,parafia,15804,,Q2,Q3133
22709,jednostka,Kaława,Mikołaj Bp,parafia,15709,,Q2,Q3135
22710,jednostka,Siedlec,Michał A,parafia,15781,,Q2,Q3136
22711,jednostka,Międzyrzecz,Jan Ch,parafia,15615,,Q2,Q3137
22712,jednostka,Kosiczyno,Szymon i Juda Tadeusz AAp,parafia,15723,,Q2,Q3138
22716,jednostka,Zielęcino,Klemens Pp,parafia,15819,,Q2,Q3139
22717,jednostka,Parzęczewo,Michał A,parafia,15764,,Q2,Q3140
22718,jednostka,Wolsztyn,"WnNMP, Piotr i Paweł AAp",parafia,15654,,Q2,Q3141
22719,jednostka,Brody,"Andrzej Ap, Maria Magdalena",parafia,15594,,Q2,Q3142
22720,jednostka,Skwierzyna,Mikołaj Bp,parafia,15643,,Q2,Q3143
22721,jednostka,Lwówek,"Jan Ch, Jan Ew",parafia,15610,,Q2,Q3144
22722,jednostka,Konojad,"Andrzej Ap, Małgorzata PM",parafia,15721,,Q2,Q3145
22726,jednostka,Gnino,Jan Ch,parafia,15695,,Q2,Q3146
22729,jednostka,Michorzewo Mokre,Wszyscy Św,parafia,15745,,Q2,Q3147
22733,jednostka,Buk,"WnNMP, Piotr i Paweł AAp, Stanisław Bp",parafia,15669,,Q2,Q3148
22734,jednostka,Duszniki,Marcin Bp,parafia,15693,,Q2,Q3149
22737,jednostka,Stary Dwór,Wawrzyniec M,parafia,15792,,Q2,Q3151
22740,jednostka,Kwilcz,Michał A,parafia,15731,,Q2,Q3152
22741,jednostka,Bytyń,"NMP, Wszyscy Św",parafia,15595,,Q2,Q3153
22743,jednostka,Łęki Wielkie,"Jakub W Ap, Katarzyna PM",parafia,15739,,Q2,Q3154
22744,jednostka,Przetoczno,Św. Trójca,parafia,15633,,Q2,Q3155
22745,jednostka,Dąbrówka,"NPNMP, Jakub W Ap",parafia,15685,,Q2,Q3156
22746,jednostka,Babimost,"Jacek W, Wawrzyniec M",parafia,15591,,Q2,Q3157
22747,jednostka,Zajączkowo,Michał A,parafia,15816,,Q2,Q3158
22750,jednostka,Wytomyśl,Michał A,parafia,15815,,Q2,Q3159
22753,jednostka,Ostroróg,WnNMP,parafia,15759,,Q2,Q3160
22754,jednostka,Wilczyna,Jadwiga Wd,parafia,15807,,Q2,Q3161
22756,jednostka,Rakoniewice,Marcin Bp,parafia,15775,,Q2,Q3162
22757,jednostka,Chociszewo,Jan Ch,parafia,15674,,Q2,Q3163
22758,jednostka,Biezdrowo,"Św. Krzyż, Mikołaj Bp",parafia,15662,,Q2,Q3164
22759,jednostka,Chrzypsko Wielkie,"Wojciech, Stanisław BBp",parafia,15677,,Q2,Q3165
22760,jednostka,Bledzew,Katarzyna PM,parafia,15663,,Q2,Q3166
22761,jednostka,Bukowiec Mały,Marcin Bp,parafia,15671,,Q2,Q3167
22762,jednostka,Opalenica,Mateusz Ap,parafia,15620,,Q2,Q3168
