"id","slownik_id","typ","haslo_id","komentarz"
1539,1997,instytucja,184,
1540,2534,instytucja,185,
1541,300,osoba,186,
1542,2534,instytucja,186,
1543,301,osoba,188,
1544,2534,instytucja,188,
1545,302,osoba,189,
1546,2534,instytucja,189,
1547,303,osoba,190,
1548,2534,instytucja,190,
1549,225,osoba,191,
1550,2534,instytucja,191,
1551,2534,instytucja,192,
1552,304,osoba,192,
1553,305,osoba,193,
1554,2534,instytucja,193,
1555,8,osoba,187,
1556,2534,instytucja,187,
1557,131,osoba,194,
1560,2534,instytucja,194,
1561,306,osoba,195,
1562,307,osoba,196,
1563,2534,instytucja,195,
1564,2534,instytucja,196,
1566,2533,instytucja,197,
1567,256,osoba,198,
1568,2534,instytucja,198,
1569,308,osoba,200,
1570,2534,instytucja,200,
1571,309,osoba,201,
1572,2534,instytucja,201,
1573,310,osoba,202,
1574,2534,instytucja,202,
1575,311,osoba,203,
1576,2534,instytucja,203,
1577,312,osoba,205,
1578,2534,instytucja,205,
1580,313,osoba,206,
1581,314,osoba,207,
1582,2534,instytucja,206,
1583,315,osoba,208,
1584,2534,instytucja,208,
1585,132,osoba,209,
1587,2534,instytucja,209,
1588,2534,instytucja,210,
1589,316,osoba,210,
1592,2535,instytucja,211,
1596,247,osoba,213,
1597,2536,instytucja,212,
1599,2537,instytucja,213,
1600,2537,instytucja,214,
1601,317,osoba,214,
1602,318,osoba,215,
1603,2537,instytucja,215,
1604,254,osoba,216,
1605,2537,instytucja,216,
1607,319,osoba,217,
1608,2537,instytucja,217,
1609,285,osoba,218,
1610,2537,instytucja,218,
1611,2537,instytucja,219,
1612,306,osoba,219,
1613,12759,miejsce,968,
1614,126,osoba,220,
1615,2538,instytucja,221,
1616,285,osoba,222,
1617,2539,instytucja,222,
1618,96,osoba,223,
1619,261,osoba,224,
1620,2539,instytucja,223,
1621,2539,instytucja,224,
1622,2540,instytucja,225,
1623,2541,instytucja,226,
1624,289,osoba,226,
1625,320,osoba,228,
1626,2540,instytucja,227,
1628,2541,instytucja,228,
1629,2541,instytucja,229,
1630,2541,instytucja,230,
1631,2351,instytucja,231,
1633,2541,instytucja,232,
1634,321,osoba,229,
1635,322,osoba,232,
1636,2542,instytucja,233,
1637,2543,instytucja,234,
1638,102,osoba,234,
1639,302,osoba,235,
1640,2543,instytucja,235,
1641,2544,instytucja,236,
1642,2545,instytucja,237,
1643,297,osoba,238,
1645,1955,instytucja,238,
1646,2546,instytucja,239,
1647,323,osoba,240,
1648,106,osoba,241,
1649,2547,instytucja,240,
1650,2547,instytucja,241,
1651,2305,instytucja,242,
1652,24,osoba,242,
1654,270,osoba,243,
1655,990,instytucja,243,
217,324,osoba,382,
982,171,osoba,889,
970,2275,instytucja,880,
1656,242,osoba,68,
1657,2503,instytucja,68,
1660,2534,instytucja,199,
1661,2522,instytucja,131,
1662,476,instytucja,628,
1663,256,osoba,119,
1664,2521,instytucja,119,
1665,2357,instytucja,204,
1666,311,osoba,204,
1667,325,osoba,487,
1668,2431,instytucja,702,
1669,326,osoba,702,
1670,2549,instytucja,867,
1671,1004,instytucja,289,
1672,2550,instytucja,244,
